Wall time,Step,Value
1553118134.4992058,189184,-0.006479607429355383
1553118136.482492,189440,-0.00472597312182188
1553118139.255776,189696,0.006668915040791035
1553118140.851302,189952,0.0034508921671658754
1553118143.910493,190464,-0.006611380726099014
1553118147.24372,190976,-0.010991550050675869
1553118148.8473501,191232,0.0012093225959688425
1553118150.5722072,191488,-0.0180071834474802
1553118154.326244,192000,-0.004177845548838377
1553118156.70375,192256,-0.0009920781012624502
1553118158.438963,192512,-0.0033760578371584415
1553118160.055158,192768,0.001040081144310534
1553118161.627119,193024,-0.004068139940500259
1553118163.311769,193280,0.0018649367848411202
1553118164.9020019,193536,0.0006550170364789665
1553118166.537097,193792,-0.00024858658434823155
1553118171.313836,194560,-0.005324305035173893
1553118173.602029,194816,0.010748952627182007
1553118176.390472,195328,0.0038135319482535124
1553118179.780627,195840,-0.005623473320156336
1553118181.417465,196096,-0.005903407000005245
1553118183.0253692,196352,-0.009547429159283638
1553118184.558759,196608,-0.00011461538088042289
1553118187.600791,197120,-0.010267091915011406
1553118189.85325,197376,0.0012822586577385664
1553118191.3982348,197632,0.0026974191423505545
1553118192.937685,197888,-0.0004546960408333689
1553118194.410198,198144,0.0014136105310171843
1553118195.910058,198400,0.005762271583080292
1553118197.454496,198656,-0.00104430946521461
1553118198.973233,198912,0.011754128150641918
1553118203.590057,199680,0.005761171691119671
1553118205.730485,199936,0.011644463986158371
1553118208.737757,200448,-0.008456912823021412
1553118210.273201,200704,0.00902847945690155
1553118211.808531,200960,-0.0045721279457211494
1553118213.339147,201216,-0.002307759365066886
1553118216.3734322,201728,-0.0025240820832550526
1553118219.502871,202240,0.0006878349231556058
1553118221.66145,202496,-0.01004411093890667
1553118223.254072,202752,-0.0029284388292580843
1553118224.818141,203008,-0.013782890513539314
1553118226.31846,203264,-0.008469691500067711
1553118227.927249,203520,-0.0045946137979626656
1553118229.430206,203776,-0.0010816878639161587
1553118230.928027,204032,0.0037651523016393185
1553118234.010324,204544,0.008155964314937592
1553118235.533833,204800,-0.003801309736445546
1553118237.7845771,205056,0.002230798127129674
1553118240.880641,205568,-0.006734380032867193
1553118243.9824839,206080,0.008327478542923927
1553118245.5090492,206336,0.003488087560981512
1553118247.011998,206592,-0.0036852583289146423
1553118248.511103,206848,-0.009632770903408527
1553118250.012906,207104,0.0036401853431016207
1553118251.4990458,207360,-0.014102327637374401
1553118255.1958568,207872,-0.010369586758315563
1553118256.7352462,208128,0.001584417768754065
1553118258.308228,208384,0.006563897244632244
1553118261.376429,208896,0.0022130252327769995
1553118262.9011478,209152,-0.0030854768119752407
1553118265.982671,209664,0.005426740273833275
1553118271.1952782,210432,0.004584076814353466
1553118274.208283,210944,-0.002799044596031308
1553118275.7721999,211200,-0.0027391116600483656
1553118277.315885,211456,0.004166821949183941
1553118281.909525,212224,0.007609657011926174
1553118283.450125,212480,-0.0021085862535983324
1553118287.139832,212992,0.008787643164396286
1553118288.644149,213248,0.0029075522907078266
1553118291.652972,213760,0.0002995595568791032
1553118293.2450829,214016,-0.002966506639495492
1553118294.7515578,214272,-0.0149469505995512
1553118297.9251578,214784,-0.009322642348706722
1553118299.416319,215040,-0.0007969198632054031
1553118304.595434,215808,-0.006842876318842173
1553118306.075905,216064,0.00396683206781745
1553118309.71926,216576,-0.0008161667501553893
1553118311.523067,216832,0.009516900405287743
1553118313.1202838,217088,0.01070704311132431
1553118314.626525,217344,0.0005728292162530124
